Summary_200,Summary_300,Summary_400,Classification
昨年のOBS指摘対応として作成された「品質に関わる掲示物リスト」の管理状況を確認してください。,昨年のOBS指摘対応として、「品質に関わる掲示物リスト」を作成し、デンカ電子承認システムにUPされていることを確認しました。文書管理規則に基づき、掲示物の管理状況を確認してください。,昨年のOBS指摘対応として、「品質に関わる掲示物リスト」を作成しました。リストの管理状況を確認してください。品質に関する掲示物はデンカ電子承認システムにUPされていることを確認しました。,{'OBS': 3}
QC工程表が基準とは別文書として電子承認システムに掲示されていますが、基準の方にQC工程表が残っています。削除を検討してください。,昨年のOFI指摘対応として、QC工程表を別文書として電子承認システムに掲示。管理状況を確認。QC工程表は基準に残っているが、削除可。QC工程表の改定を考慮し、別文書として管理を検討。デンカ電子承認システムに登録済。,昨年のOFI指摘対応として、QC工程表を別文書として電子承認システムに掲示。管理状況を確認。QC工程表は基準に残っているが、削除可。アルミナセメント運転管理基準による管理で、改定時に別文書として管理も検討。デンカ電子承認システムに登録済。,{'OFI': 3}
「物性注意連絡書」と「物性不良連絡書」の発行タイミングと対応方法について説明がありました。また、不適合品の識別管理方法についても説明がありました。ただし、「不適合の管理／是正予防処置基準」の名称変更を要望します。デンカ電子承認システムに修正版が登録されていることを確認しました。,「物性注意連絡書」及び「物性不良連絡書」の発行タイミングと対応方法について、出荷管理基準を参考に説明がありました。また、不適合品の識別管理方法についても説明がありましたが、名称変更を要望します。デンカ電子承認システムに修正版が登録されていることを確認しました。,「物性注意連絡書」及び「物性不良連絡書」の発行タイミングと対応方法について、出荷管理基準（PR-TS-022 第7版）で説明がありました。また、不適合品の識別管理方法は「不適合の管理／是正予防処置基準（PR-TS-003 第7版）」に記載されていますが、名称変更を要請します。デンカ電子承認システムに修正版が登録されていることを確認しました。,{}
昨年のOFI指摘対応として、「設備機器リスト」を更新頂きました。リストの管理状況を確認させてください。デンカ電子承認システムでリストの更新を確認しました。,昨年のOFI指摘対応として、「設備機器リスト」を更新し、管理状況を確認してください。シート「プレミックス」の不要な項目を削除しましょう。AL-1シリカ粉砕のリストは重要設備機ランクを決定するための帳票であり、設備管理規則に従って使用することを推奨します。デンカ電子承認システムでリストの更新を確認しました。,昨年のOFI指摘対応として、「設備機器リスト」を更新し、管理状況を確認する必要があります。シート「プレミックス」の不要な項目を削除し、デンカ電子承認システムで更新を確認しました。設備課と製造部門は重要設備機ランクを決定するために協議し、設備の維持管理には規定に従って様式を使用することを推奨します。,{'OFI': 3}
外部文書リストの管理状況は後ほど確認し、リンク貼れるものについて検討します。来年度の内部監査で対応状況を確認します。,外部文書リストの管理状況は後ほど確認します。SDSやJISなどの文書についてはリンクファイルを添付する方法も検討します。来年度の内部監査で対応状況を確認します。,外部文書リストの管理状況は後ほど確認する。デンカ電子承認システムから外文書リストを確認し、最新版入手が難しい文書にはリンクファイルを添付する方法を検討する。来年度の内部監査で外部文書リストの対応状況を確認する。,{}
セメント特混課の不合格品・半製品・製品の識別管理方法について説明を求められた。赤札で識別することが規定されているが、なぜ黄色札にしているのかについて説明が必要。,セメント特混課の不合格品・半製品・製品の識別管理方法について説明を求められた。不適合品は赤札で識別することが規定されているが、なぜ黄色札にしているのかについて説明が必要。,セメント特混課の不合格品・半製品・製品の識別管理方法について説明を求められた。不適合品は赤札で識別することが規定されているが、なぜ黄色札にしているのかについて説明を求められた。,{}
,,,
様式-1作成の進捗状況は？,様式-1作成の進捗状況についてのヒアリング内容はありません。,様式-1の作成進捗状況についての質問がありました。,{}
様式-1作成の進捗状況は？,様式-1作成の進捗状況は？,様式-1作成の進捗状況は？,{}
工程検査と出荷検査の検査員認定項目についての質問はありません。,工程検査と出荷検査の検査員認定項目についての情報は提供されていない。,工程検査と出荷検査の検査員認定項目についての質問に関する情報はありません。,{}
工程検査と出荷検査の検査員認定項目は何か。,工程検査と出荷検査の検査員認定項目についての情報はありません。,工程検査と出荷検査の検査員認定項目についての情報が求められています。,{}
,,,
,,,
製造工程の傾向管理の実施状況についての質問です。,製造工程の傾向管理は実施していますか？,製造工程の傾向管理は実施していますか？,{}
,,,
製造工程の傾向管理の実施状況と異常時の対応とレビューのタイミングについての質問。,製造工程の傾向管理の実施状況と異常時の対応とレビューのタイミングについての質問です。,製造工程の傾向管理の実施状況と異常時の対応とレビューのタイミングについての質問がありました。,{}
CPK管理だけではなく、管理図確認と変化点確認も実施しているか確認する。,CPK管理だけではなく、管理図確認と変化点確認も実施しているかを確認する。,CPK管理だけではなく、管理図確認と変化点確認も実施しているかを確認している。,{}
傾向管理を実施している場合の異常時の対応とレビューのタイミングについて説明してください。,傾向管理を実施している場合、異常時の対応とレビューのタイミングは？,傾向管理を実施している場合、異常時の対応とレビューのタイミングは重要です。,{}
CPK管理以外にも、管理図確認や変化点確認を実施しているかを確認する。傾向管理のデータ元装置の管理状況や校正対象機器についても確認する。,CPK管理だけでなく、管理図確認と変化点確認も実施しているか確認する。傾向管理のデータ元の装置の管理状況と校正対象機器の確認を行う。,CPK管理だけではなく、管理図確認や変化点確認も実施しているかを確認する。傾向管理のデータ元の装置の管理状況や校正対象機器の確認も行う。,{}
,,,
傾向管理のデータ元の装置の管理状況の確認は？（校正対象機器？）,傾向管理のデータ元の装置の管理状況の確認は？（校正対象機器？）,傾向管理のデータ元の装置の管理状況の確認は？（校正対象機器？）,{}
昨年から組織改定や人事異動などの変更はありましたか？,昨年から組織改定や人事異動などの変更はあったかどうかについての質問はありませんでした。,昨年から組織改定や人事異動などの変更はありましたか？,{}
グループ内のメンバーや各業務の力量証拠は文書化されておらず、人事異動による改定も反映されていない。,グループ内のメンバーや各業務に必要な力量が定められ、力量の証拠は文書化されていない。スキルマップや力量要件表、部門別要求資質及び有資格者一覧表の改定が反映されておらず、ファイルの名称も修正が必要。,グループ内のメンバーや各業務に必要な力量が定められ、力量の証拠は文書化されているかどうかを確認する必要があります。スキルマップや力量要件表、部門別要求資質及び有資格者一覧表がありますが、人事異動による改定が反映されていないことが問題です。また、電子承認システムでの登録名称も修正が必要です。,{}
昨年から組織改定や人事異動などの変更はあったか？,昨年から組織改定や人事異動などの変更はあったか？,昨年から組織改定や人事異動などの変更はあったかどうかについての聴取内容です。,{}
グループ内のメンバーや各業務の力量が文書化されておらず、JISに関する外部文書リストも確認されていない。,グループ内のメンバーや各業務の力量が定められ、文書化されているか確認が必要。スキルマップや力量要件表、部門別要求資質及び有資格者一覧表の改定が反映されていない。JISに関する外部文書リストの確認も必要。,グループ内のメンバーや各業務の力量が定められ、力量の証拠は文書化されているか確認が必要。スキルマップや力量要件表、部門別要求資質及び有資格者一覧表の改定が反映されていないことが問題。また、JISに関する外部文書リストの確認も必要。,{}
外部文書リストの最新版の管理方法は、JISの更新を確認する担当者と時期を明確にすることが重要です。,外部文書リストの最新版の管理方法について、JISの更新を確認する担当者とそのタイミングについて教えてください。,外部文書リストの最新版の管理方法について、JISの更新を確認する担当者とそのタイミングについて教えてください。,{}
JISに関する外部文書リストの確認と仕様書への引用の整合性確認が必要。参照の場合も確認し、結果を記録に残す。,JISに関する外部文書リストの確認と仕様書への引用の整合性をサンプリングで確認し、結果を記録に残す。最新版のJISも確認し、製造部と共に引用先を確認する。参照の場合も参照範囲を確認し、記録に残す。,JISに関する外部文書リストの確認と仕様書への引用の有無をサンプリングで確認する。引用されている場合はJISの内容と手順書との整合性を確認し、最新版のJISと引用先も確認する。参照の場合は参照範囲と確認結果を記録に残す。,{}
外部文書リストの最新版の管理方法を教えてください。いつ誰がJISの更新を確認しているか。,外部文書リストの最新版の管理方法について、JISの更新確認者とそのタイミングについて教えてください。,外部文書リストの最新版の管理方法について、JISの更新を確認する担当者とそのタイミングについて教えてください。,{}
仕様書にJISの年号が明記されているか確認し、手順書と整合しているかサンプリングで確認。最新版のJISと引用先も確認し、参照の場合は参照範囲を記録。仕様書の詳細項目も確認。,仕様書にJISの引用があるか確認し、年号が明記されているか、記載内容と手順書と整合しているかをサンプリングで確認。最新版のJISを監査時間内に確認し、引用先も確認。参照の場合は参照範囲を確認し、結果を記録。仕様書の確認項目も記載。,仕様書にJISの引用があるか確認し、年号が明記されているか確認する。記載がない場合は理由を調査し、製造部に説明する。JISの内容と手順書を比較し、整合性を確認する。最新版のJISを確認し、引用先も確認する。参照の場合はどの程度参照されているかを記録に残す。仕様書の確認項目を記載し、タートル図の確認も依頼する。,{}
様式3プロセス監視・測定管理表の進捗状況を確認したい。,様式3プロセス監視・測定管理表の進捗状況を確認したい。,様式3プロセス監視・測定管理表の進捗状況を確認したい。,{}
タートル図と昨年度の様式3プロセス監視・測定管理表の確認をお願いします。年度末の状況と目標達成度を確認します。,Ｑ）タートル図を確認させてください。Ｑ）昨年度の様式3プロセス監視・測定管理表を確認させてください。→年度末で締まっているか、目標の達成状況の確認,Ｑ）タートル図を確認させてください。 Ｑ）昨年度の様式3プロセス監視・測定管理表を確認させてください。→年度末で締まっているか、目標の達成状況の確認,{}
様式3プロセス監視・測定管理表の進捗状況を確認したい。,様式3プロセス監視・測定管理表の進捗状況を確認したい。,様式3プロセス監視・測定管理表の進捗状況を確認するためのヒアリング内容です。,{}
昨年度の様式3プロセス監視・測定管理表の確認と、様式2部門別活動計画管理表の進捗状況を確認してください。,昨年度の様式3プロセス監視・測定管理表の確認と、様式2部門別活動計画管理表の進捗状況確認をお願いします。,昨年度の様式3プロセス監視・測定管理表の確認と、様式2部門別活動計画管理表の進捗状況の確認を依頼されました。様式2は様式1の部門目標に基づいて作成されているか確認する必要があります。,{}
昨年度の様式２部門別活動計画管理表を確認し、年度末の締めや目標達成状況を確認する。,昨年度の様式２部門別活動計画管理表を確認し、年度末での締めや目標達成状況を確認します。,昨年度の様式２部門別活動計画管理表を確認し、年度末での締め切りと目標達成状況を確認してください。,{}
様式２部門別活動計画管理表の進捗状況を確認。様式１部門目標から落とし込まれた内容か。,様式２部門別活動計画管理表の進捗状況を確認する。様式１部門目標から落とし込まれた内容か。,様式２部門別活動計画管理表の進捗状況を確認してください。様式１部門目標から落とし込まれた内容か。,{}
昨年度の活動計画管理表の確認と、DR、変更申請、不適合是正案件の有無についてのヒアリング内容です。,昨年度の様式２部門別活動計画管理表の確認と、目標の達成状況の確認をお願いします。DR、変更申請、不適合是正に該当する案件はありますか？,昨年度の様式２部門別活動計画管理表の確認と、目標の達成状況の確認をお願いします。DR、変更申請、不適合是正に該当する案件はありますか？,{}
規則、基準書の見直し期限を確認してください。（電子承認システムより）,規則、基準書の見直し期限を確認するための電子承認システムの問い合わせ。,Ｑ）規則、基準書の見直し期限を確認させてください。（電子承認システムより）,{}
Ｑ）DR、変更申請、不適合是正に該当する案件はありますか？（質問なしの聴取内容）,Ｑ）DR、変更申請、不適合是正に該当する案件はありますか？（質問なしの聴取内容）,Ｑ）DR、変更申請、不適合是正に該当する案件はありますか？（質問なしの聴取内容）,{}
規則、基準書の見直し期限を確認させてください。（電子承認システムより）,規則、基準書の見直し期限を確認させてください。（電子承認システムより）,規則、基準書の見直し期限を確認させてください。（電子承認システムより）,{}
,,,
リスト類の確認をお願いします。,リスト類の確認をお願いします。,リスト類の確認をお願いします。,{}
,,,
リスト類の確認をお願いします。,リスト類を確認させてください。,リスト類の確認をお願いします。この入力は、質問なしの聴取内容に関するものです。,{}
,,,
,,,
,,,
,,,
,,,
,,,
保全管理計画表の確認をお願いします。,保全管理計画表の確認をお願いします。,保全管理計画表の確認をお願いします。,{}
,,,
保全管理計画表の確認をお願いします。,保全管理計画表の確認をお願いします。,保全管理計画表の確認をお願いします。,{}
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
